stock_code,total_revenue,revenue_share,cumulative_share,tier,daily_demand_mean,daily_demand_std,description,avg_unit_price,safety_stock,reorder_point,eoq,lead_time_days,service_level
22423,330590.32,0.016827687657054842,0.016827687657054842,A,35.06666666666667,36.84435732465239,REGENCY CAKESTAND 3 TIER,14.522875226039782,160.34198742449274,405.80865409115944,419.8386042481824,7,0.95
85123A,257724.71,0.013118686963928764,0.029946374620983606,A,97.16666666666667,116.59018921942885,WHITE HANGING HEART T-LIGHT HOLDER,3.1715146579804565,507.38577114853393,1187.5524378152006,1495.5010447941947,7,0.95
85099B,180569.34,0.009191329177335075,0.03913770379831868,A,164.54444444444445,191.34333081378503,JUMBO BAG RED RETROSPOT,2.3658015267175574,832.7019975614115,1984.5131086725228,2253.273390554448,7,0.95
23843,168469.6,0.008575428973567546,0.04771313277188623,A,5.555555555555555,52.41100628920336,"PAPER CRAFT , LITTLE BIRDIE",2.08,228.08607671670762,266.9749656055965,441.5638486998596,7,0.95
47566,148318.28,0.007549687751509494,0.05526282052339572,A,26.511111111111113,41.75570338806543,PARTY BUNTING,5.873929712460064,181.71554489485726,367.29332267263504,573.99884998856,7,0.95
84879,129324.49,0.006582867048641691,0.06184568757203741,A,123.12222222222222,122.90464486094521,ASSORTED COLOUR BIRD ORNAMENT,1.7199606299212598,534.8654842059005,1396.721039761456,2285.969332423401,7,0.95
22086,117760.29000000001,0.0059942268682404215,0.06783991444027783,A,159.36666666666667,156.48943521315852,PAPER CHAIN KIT 50'S CHRISTMAS ,3.2660223463687155,681.0222480451681,1796.5889147118346,1887.3419739809594,7,0.95
23166,81700.92000000001,0.0041587350865386055,0.07199864952681644,A,14.733333333333333,33.56976152564818,MEDIUM CERAMIC TOP STORAGE JAR,1.4998130841121495,146.0913602850985,249.22469361843181,846.8244103241851,7,0.95
79321,80540.88,0.004099686803486367,0.0760983363303028,A,42.544444444444444,81.134615315962,CHILLI LIGHTS,7.305000000000001,353.08759368639,650.8987047975011,652.037762397753,7,0.95
22197,79520.2,0.004047732214381027,0.08014606854468383,A,230.22222222222223,259.603234776019,POPCORN HOLDER,1.0240760869565217,1129.7604742846952,2741.316029840251,4051.0624511893457,7,0.95
22386,76324.62,0.0038850710023917248,0.08403113954707556,A,79.68888888888888,122.42908554610021,JUMBO BAG PINK POLKADOT,2.4416564417177913,532.7959101593625,1090.6181323815847,1543.5405313812157,7,0.95
84347,71300.4,0.003629328472240424,0.08766046801931597,A,71.9,103.72978250135193,ROTATING SILVER ANGELS T-LIGHT HLDR,3.10540192926045,451.4189061522477,954.7189061522478,1300.0706862585503,7,0.95
20725,71106.29,0.0036194478972401915,0.09127991591655617,A,54.48888888888889,51.48208845898509,LUNCH BAG RED RETROSPOT,2.133785046728972,224.0435436976397,605.465765919862,1365.3376692129066,7,0.95
85099F,67985.77,0.0034606073846456527,0.09474052330120182,A,44.666666666666664,96.0371455913457,JUMBO BAG STRAWBERRY,2.4160975609756097,417.9415223613758,730.6081890280425,1161.7052938317318,7,0.95
48138,67010.31,0.0034109545811335873,0.09815147788233541,A,13.2,55.004080656701184,DOORMAT UNION FLAG,8.932500000000001,239.3708087032231,331.7708087032231,328.44441641888545,7,0.95
23084,66870.03,0.0034038140574046056,0.10155529193974001,A,220.06666666666666,298.28635756787656,RABBIT NIGHT LIGHT,2.293008241758242,1298.1045366760902,2838.571203342757,2646.8891568739477,7,0.95
20685,66417.47,0.0033807778767745234,0.10493606981651454,A,8.555555555555555,11.85290504579748,DOORMAT RED RETROSPOT,9.19565476190476,51.58234502642112,111.47123391531001,260.611879887634,7,0.95
21137,65189.29,0.003318261135731889,0.10825433095224643,A,50.18888888888889,106.48514705445956,BLACK RECORD COVER FRAME,4.478595505617978,463.4099045195518,814.732126741774,904.4702793961474,7,0.95
21843,64918.299999999996,0.003304467219811467,0.11155879817205788,A,7.866666666666666,21.311551379996303,RED RETROSPOT CAKE STAND,12.933909774436088,92.74517867845688,147.81184534512354,210.71327185445764,7,0.95
